 19-05-17,00:00:51,Ch6,T. OVER
 19-05-17,00:01:52,Ch6,T. OVER
 19-05-17,00:02:52,Ch6,T. OVER
 19-05-17,00:03:52,Ch6,T. OVER
 19-05-17,00:04:52,Ch6,T. OVER
 19-05-17,00:05:52,Ch6,T. OVER
 19-05-17,00:06:53,Ch6,T. OVER
 19-05-17,00:07:53,Ch6,T. OVER
 19-05-17,00:08:53,Ch6,T. OVER
 19-05-17,00:09:53,Ch6,T. OVER
 19-05-17,00:10:53,Ch6,T. OVER
 19-05-17,00:11:53,Ch6,T. OVER
 19-05-17,00:12:54,Ch6,T. OVER
 19-05-17,00:13:54,Ch6,T. OVER
 19-05-17,00:14:54,Ch6,T. OVER
 19-05-17,00:15:54,Ch6,T. OVER
 19-05-17,00:16:55,Ch6,T. OVER
 19-05-17,00:17:55,Ch6,T. OVER
 19-05-17,00:18:55,Ch6,T. OVER
 19-05-17,00:19:55,Ch6,T. OVER
 19-05-17,00:20:55,Ch6,T. OVER
 19-05-17,00:21:55,Ch6,T. OVER
 19-05-17,00:22:55,Ch6,T. OVER
 19-05-17,00:23:56,Ch6,T. OVER
 19-05-17,00:24:56,Ch6,T. OVER
 19-05-17,00:25:56,Ch6,T. OVER
 19-05-17,00:26:56,Ch6,T. OVER
 19-05-17,00:27:56,Ch6,T. OVER
 19-05-17,00:28:56,Ch6,T. OVER
 19-05-17,00:29:57,Ch6,T. OVER
 19-05-17,00:30:57,Ch6,T. OVER
 19-05-17,00:31:57,Ch6,T. OVER
 19-05-17,00:32:57,Ch6,T. OVER
 19-05-17,00:33:57,Ch6,T. OVER
 19-05-17,00:34:58,Ch6,T. OVER
 19-05-17,00:35:58,Ch6,T. OVER
 19-05-17,00:36:58,Ch6,T. OVER
 19-05-17,00:37:58,Ch6,T. OVER
 19-05-17,00:38:58,Ch6,T. OVER
 19-05-17,00:39:59,Ch6,T. OVER
 19-05-17,00:40:59,Ch6,T. OVER
 19-05-17,00:41:59,Ch6,T. OVER
 19-05-17,00:42:59,Ch6,T. OVER
 19-05-17,00:43:59,Ch6,T. OVER
 19-05-17,00:45:00,Ch6,T. OVER
 19-05-17,00:46:00,Ch6,T. OVER
 19-05-17,00:47:00,Ch6,T. OVER
 19-05-17,00:48:00,Ch6,T. OVER
 19-05-17,00:49:00,Ch6,T. OVER
 19-05-17,00:50:00,Ch6,T. OVER
 19-05-17,00:51:01,Ch6,T. OVER
 19-05-17,00:52:01,Ch6,T. OVER
 19-05-17,00:53:01,Ch6,T. OVER
 19-05-17,00:54:01,Ch6,T. OVER
 19-05-17,00:55:01,Ch6,T. OVER
 19-05-17,00:56:01,Ch6,T. OVER
 19-05-17,00:57:02,Ch6,T. OVER
 19-05-17,00:58:02,Ch6,T. OVER
 19-05-17,00:59:02,Ch6,T. OVER
 19-05-17,01:00:02,Ch6,T. OVER
 19-05-17,01:01:02,Ch6,T. OVER
 19-05-17,01:02:03,Ch6,T. OVER
 19-05-17,01:03:03,Ch6,T. OVER
 19-05-17,01:04:03,Ch6,T. OVER
 19-05-17,01:05:03,Ch6,T. OVER
 19-05-17,01:06:03,Ch6,T. OVER
 19-05-17,01:07:03,Ch6,T. OVER
 19-05-17,01:08:04,Ch6,T. OVER
 19-05-17,01:09:04,Ch6,T. OVER
 19-05-17,01:10:04,Ch6,T. OVER
 19-05-17,01:11:04,Ch6,T. OVER
 19-05-17,01:12:04,Ch6,T. OVER
 19-05-17,01:13:04,Ch6,T. OVER
 19-05-17,01:14:04,Ch6,T. OVER
 19-05-17,01:15:05,Ch6,T. OVER
 19-05-17,01:16:05,Ch6,T. OVER
 19-05-17,01:17:05,Ch6,T. OVER
 19-05-17,01:18:05,Ch6,T. OVER
 19-05-17,01:19:05,Ch6,T. OVER
 19-05-17,01:20:05,Ch6,T. OVER
 19-05-17,01:21:06,Ch6,T. OVER
 19-05-17,01:22:06,Ch6,T. OVER
 19-05-17,01:23:06,Ch6,T. OVER
 19-05-17,01:24:06,Ch6,T. OVER
 19-05-17,01:25:06,Ch6,T. OVER
 19-05-17,01:26:07,Ch6,T. OVER
 19-05-17,01:27:07,Ch6,T. OVER
 19-05-17,01:28:07,Ch6,T. OVER
 19-05-17,01:29:07,Ch6,T. OVER
 19-05-17,01:30:07,Ch6,T. OVER
 19-05-17,01:31:07,Ch6,T. OVER
 19-05-17,01:32:08,Ch6,T. OVER
 19-05-17,01:33:08,Ch6,T. OVER
 19-05-17,01:34:08,Ch6,T. OVER
 19-05-17,01:35:08,Ch6,T. OVER
 19-05-17,01:36:08,Ch6,T. OVER
 19-05-17,01:37:08,Ch6,T. OVER
 19-05-17,01:38:08,Ch6,T. OVER
 19-05-17,01:39:09,Ch6,T. OVER
 19-05-17,01:40:09,Ch6,T. OVER
 19-05-17,01:41:09,Ch6,T. OVER
 19-05-17,01:42:09,Ch6,T. OVER
 19-05-17,01:43:10,Ch6,T. OVER
 19-05-17,01:44:10,Ch6,T. OVER
 19-05-17,01:45:10,Ch6,T. OVER
 19-05-17,01:46:10,Ch6,T. OVER
 19-05-17,01:47:10,Ch6,T. OVER
 19-05-17,01:48:10,Ch6,T. OVER
 19-05-17,01:49:11,Ch6,T. OVER
 19-05-17,01:50:11,Ch6,T. OVER
 19-05-17,01:51:11,Ch6,T. OVER
 19-05-17,01:52:11,Ch6,T. OVER
 19-05-17,01:53:11,Ch6,T. OVER
 19-05-17,01:54:11,Ch6,T. OVER
 19-05-17,01:55:12,Ch6,T. OVER
 19-05-17,01:56:12,Ch6,T. OVER
 19-05-17,01:57:12,Ch6,T. OVER
 19-05-17,01:58:12,Ch6,T. OVER
